,Precision,Recall,F1 Score,TP,FP,FN,TN,Target State
CFCBK,0.0,0.0,0.0,0.0,0.0,0.0,2682.0,bihar
FCBK,0.2255892255892256,0.22635135135135134,0.2259696458684654,67.0,230.0,229.0,2156.0,bihar
Zigzag,0.9039832285115303,0.90360435875943,0.9037937539299937,2156.0,229.0,230.0,67.0,bihar
Mean,0.37652415136691864,0.37665190337026044,0.3765877999328197,741.0,153.0,153.0,1635.0,bihar
CFCBK,0.0,0.0,0.0,0.0,0.0,0.0,330.0,haryana
FCBK,0.03076923076923077,0.125,0.04938271604938272,2.0,63.0,14.0,251.0,haryana
Zigzag,0.9471698113207547,0.7993630573248408,0.8670120898100172,251.0,14.0,63.0,2.0,haryana
Mean,0.32597968069666183,0.30812101910828027,0.3054649352864666,84.33333333333333,25.666666666666668,25.666666666666668,194.33333333333334,haryana
CFCBK,0.0,0.0,0.0,0.0,0.0,94.0,3754.0,uttar_pradesh
FCBK,0.6631455399061033,0.26981852913085,0.38357094365241,565.0,287.0,1529.0,1467.0,uttar_pradesh
Zigzag,0.46328437917222964,0.8361445783132531,0.5962199312714778,1388.0,1608.0,272.0,580.0,uttar_pradesh
Mean,0.3754766396927776,0.36865436914803434,0.3265969583079626,651.0,631.6666666666666,631.6666666666666,1933.6666666666667,uttar_pradesh
CFCBK,0.0,0.0,0.0,0.0,0.0,0.0,1057.0,punjab
FCBK,0.1459227467811159,0.2833333333333333,0.1926345609065156,34.0,199.0,86.0,738.0,punjab
Zigzag,0.8956310679611651,0.7876200640341515,0.838160136286201,738.0,86.0,199.0,34.0,punjab
Mean,0.34718460491409364,0.35698446578916165,0.3435982323975722,257.3333333333333,95.0,95.0,609.6666666666666,punjab
